Issue Date and Time,State,Plate ID,Division,Location,Location Standardized,Coordinates,Violation Description,Fine,Issuing Agency,Violation Location
01/01/2012 12:00:00 AM,PA,1048932,00,1000 VINE,"1000 VINE ST, 19107","(39.9568850255,-75.1563742867)",PARKING PROHBITED CC,$51.00,POLICE,"(39.9568850255, -75.1563742867)"
01/01/2012 12:00:00 AM,PA,679582,09,400 S 25TH,"400 S 25TH ST, 19146","(39.9473721746,-75.1814961216)",SCHOOL ZONE,$36.00,POLICE,"(39.9473721746, -75.1814961216)"
01/01/2012 12:00:00 AM,PA,1082165,05,7016 HENRY AVE,"7016 HENRY AVE, 19128","(40.0483515634,-75.2185249487)",SIDEWALK,$51.00,POLICE,"(40.0483515634, -75.2185249487)"
01/01/2012 12:01:00 AM,TX,1720567,02,300 DEVEREAU,,,BLOCKING DRIVEWAY,$51.00,POLICE,
01/01/2012 12:07:00 AM,PA,1172258,63,450 N 6TH,"450 N 6TH ST, 19123","(39.9598882869,-75.1484695504)",PARKING PROHBITED CC,$51.00,POLICE,"(39.9598882869, -75.1484695504)"
01/01/2012 12:07:00 AM,PA,978500,16,1000 N 42ND,"1000 N 42ND ST, 19104","(39.9722105836,-75.2086555318)",DOUBLE PARKED,$51.00,POLICE,"(39.9722105836, -75.2086555318)"
01/01/2012 12:09:00 AM,NJ,427139,06,450 N 6TH,"450 N 6TH ST, 19123","(39.9598882869,-75.1484695504)",PARKING PROHBITED CC,$51.00,POLICE,"(39.9598882869, -75.1484695504)"
01/01/2012 12:09:00 AM,PA,869463,03,3RD SOUTH ST,,,BUS ONLY ZONE   CC,$76.00,POLICE,
01/01/2012 12:10:00 AM,NJ,308463,06,448 N 6TH,"448 N 6TH ST, 19123","(39.9598882869,-75.1484695504)",PARKING PROHBITED CC,$51.00,POLICE,"(39.9598882869, -75.1484695504)"
01/01/2012 12:12:00 AM,PA,1585402,06,446 N 6TH,"446 N 6TH ST, 19123","(39.9598882869,-75.1484695504)",PARKING PROHBITED CC,$51.00,POLICE,"(39.9598882869, -75.1484695504)"
